date,delta_t,condition,path,name,track_len
20250728,5,15A-A6G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250728_15A-A6G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/011_009.csv,20250728_15A-A6G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_011_009,712
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/016_001.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_016_001,670
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/018_005.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_018_005,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/002_006.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_002_006,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/018_002.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_018_002,710
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/017_006.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_017_006,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/012_000.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_012_000,545
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/002_007.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_002_007,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/016_004.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_016_004,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/010_009.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_010_009,724
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/005_007.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_005_007,371
20250805,5,15C-A2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01/017_000.csv,20250805_15C-A2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-01_017_000,638
20250707,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04/002_007.csv,20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04_002_007,514
20250707,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04/010_002.csv,20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04_010_002,566
20250707,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04/007_000.csv,20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04_007_000,404
20250707,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04/010_004.csv,20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04_010_004,241
20250707,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04/007_007.csv,20250707_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-04_007_007,341
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/003_007.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_003_007,356
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/003_006.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_003_006,724
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/012_013.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_012_013,559
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/001_003.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_001_003,655
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/012_015.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_012_015,663
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/011_007.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_011_007,315
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/002_004.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_002_004,315
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/000_001.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_000_001,395
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/000_000.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_000_000,724
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/002_003.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_002_003,297
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09/010_004.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-09_010_004,724
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/009_003.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_009_003,566
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/009_002.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_009_002,322
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/007_001.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_007_001,163
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/010_008.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_010_008,223
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/006_007.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_006_007,120
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/002_008.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_002_008,236
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/013_008.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_013_008,87
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/010_006.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_010_006,198
20251212,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04/005_012.csv,20251212_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-04_005_012,174
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/003_007.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_003_007,724
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/003_006.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_003_006,631
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/012_000.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_012_000,361
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/013_005.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_013_005,476
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/009_009.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_009_009,724
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03/014_003.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-03_014_003,678
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/014_006.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_014_006,373
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/014_005.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_014_005,722
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/007_009.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_007_009,724
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/008_007.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_008_007,442
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/007_002.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_007_002,373
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/012_003.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_012_003,197
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/009_001.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_009_001,724
20250709,5,G7B8G2_GSK_CTCFdepletion,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01/000_005.csv,20250709_G7B8G2_GSK_dTAG13(500uM)added4hrBefore_30ms_0_3umIntervals_15by650_5sFrameRate-01_000_005,374
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/002_009.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_002_009,724
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/003_006.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_003_006,724
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/008_001.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_008_001,724
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/006_009.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_006_009,724
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/004_008.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_004_008,530
20250610,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/010_007.csv,20250610_S+V-A6B8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_010_007,713
